CMDLINE C:\Users\sammy\435L\Project\venv\Scripts\python.exe app.py
MEM 1.878906 1732798522.1610
MEM 3.851562 1732798522.2704
MEM 3.851562 1732798522.3782
MEM 3.851562 1732798522.4883
MEM 3.851562 1732798522.5958
MEM 3.851562 1732798522.7057
MEM 3.851562 1732798522.8147
MEM 3.851562 1732798522.9231
MEM 3.851562 1732798523.0325
MEM 3.851562 1732798523.1424
MEM 3.851562 1732798523.2521
MEM 3.851562 1732798523.3627
MEM 3.851562 1732798523.4735
MEM 3.851562 1732798523.5786
MEM 3.851562 1732798523.6881
MEM 3.851562 1732798523.7967
MEM 3.851562 1732798523.9041
MEM 3.851562 1732798524.0132
MEM 3.851562 1732798524.1215
MEM 3.851562 1732798524.2304
MEM 3.851562 1732798524.3393
MEM 3.851562 1732798524.4488
MEM 3.851562 1732798524.5587
MEM 3.851562 1732798524.6678
MEM 3.851562 1732798524.7765
MEM 3.851562 1732798524.8856
MEM 3.851562 1732798524.9946
MEM 3.851562 1732798525.1031
MEM 3.851562 1732798525.2124
MEM 3.851562 1732798525.3204
MEM 3.851562 1732798525.4287
MEM 3.851562 1732798525.5382
MEM 3.851562 1732798525.6472
MEM 3.851562 1732798525.7565
MEM 3.851562 1732798525.8660
MEM 3.851562 1732798525.9744
MEM 3.851562 1732798526.0843
MEM 3.851562 1732798526.1931
MEM 3.851562 1732798526.3024
MEM 3.851562 1732798526.4125
MEM 3.851562 1732798526.5247
MEM 3.851562 1732798526.6312
MEM 3.851562 1732798526.7391
